Transcript Id,Gene Id,name,miTG score
ENST00000358621,ENSG00000151474 ,FRMD4A,0.997616362
ENST00000466489,ENSG00000160783 ,PMF1,0.997311889
ENST00000340208,ENSG00000081189 ,MEF2C,0.994507257
ENST00000599847,ENSG00000152439 ,ZNF773,0.993917068
ENST00000358432,ENSG00000142627 ,EPHA2,0.991306059
ENST00000541363,ENSG00000149948 ,HMGA2,0.99058721
ENST00000558181,ENSG00000128915 ,NARG2,0.990455091
ENST00000425534,ENSG00000163412 ,EIF4E3,0.989971614
ENST00000450751,ENSG00000214575 ,CPEB1,0.98883054
ENST00000373719,ENSG00000147162 ,OGT,0.988658767
ENST00000258349,ENSG00000135870 ,RC3H1,0.9880839
ENST00000397786,ENSG00000108510 ,MED13,0.984518834
ENST00000261593,ENSG00000134758 ,RNF138,0.982283673
ENST00000327300,ENSG00000121774 ,KHDRBS1,0.9814425
ENST00000432096,ENSG00000241127 ,YAE1D1,0.97890207
ENST00000436900,ENSG00000183283 ,DAZAP2,0.978471396
ENST00000262340,ENSG00000116745 ,RPE65,0.974403272
ENST00000372692,ENSG00000119335 ,SET,0.97356019
ENST00000517597,ENSG00000104325 ,DECR1,0.973120976
ENST00000370298,ENSG00000143033 ,MTF2,0.972297182
ENST00000337198,ENSG00000155096 ,AZIN1,0.970793526
ENST00000394030,ENSG00000114423 ,CBLB,0.965394416
ENST00000356341,ENSG00000149269 ,PAK1,0.96285241
ENST00000591325,ENSG00000267216 ,AC010642.1,0.962671389
ENST00000490598,ENSG00000163386 ,NBPF10,0.959267081
ENST00000392011,ENSG00000130147 ,SH3BP4,0.956238065
ENST00000261381,ENSG00000103489 ,XYLT1,0.954819577
ENST00000529310,ENSG00000081842 ,PCDHA6,0.954737903
ENST00000498166,ENSG00000120370 ,GORAB,0.954625902
ENST00000289272,ENSG00000239389 ,PCDHA13,0.954595749
ENST00000525929,ENSG00000204963 ,PCDHA7,0.954517285
ENST00000522353,ENSG00000255408 ,PCDHA3,0.954252477
ENST00000531613,ENSG00000204962 ,PCDHA8,0.954251072
ENST00000529859,ENSG00000204965 ,PCDHA5,0.954246458
ENST00000398631,ENSG00000251664 ,PCDHA12,0.954243192
ENST00000398640,ENSG00000249158 ,PCDHA11,0.954237905
ENST00000504120,ENSG00000204970 ,PCDHA1,0.954144743
ENST00000253807,ENSG00000248383 ,PCDHAC1,0.954136495
ENST00000307360,ENSG00000250120 ,PCDHA10,0.954104582
ENST00000526136,ENSG00000204969 ,PCDHA2,0.954088812
ENST00000530339,ENSG00000204967 ,PCDHA4,0.954085604
ENST00000488550,ENSG00000143995 ,MEIS1,0.953764682
ENST00000289269,ENSG00000243232 ,PCDHAC2,0.953519799
ENST00000315962,ENSG00000147573 ,TRIM55,0.948564056
ENST00000519721,ENSG00000176853 ,FAM91A1,0.948303265
ENST00000342983,ENSG00000123728 ,RAP2C,0.947835933
ENST00000304506,ENSG00000169194 ,IL13,0.945712429
ENST00000372007,ENSG00000077264 ,PAK3,0.942453035
ENST00000419308,ENSG00000125798 ,FOXA2,0.942322857
ENST00000261798,ENSG00000113712 ,CSNK1A1,0.941783325
ENST00000376020,ENSG00000158352 ,SHROOM4,0.941292118
ENST00000398399,ENSG00000206538 ,VGLL3,0.939328389
ENST00000426548,ENSG00000182963 ,GJC1,0.939056787
ENST00000561089,ENSG00000137807 ,KIF23,0.938561018
ENST00000408996,ENSG00000243414 ,TICAM2,0.938185434
ENST00000547269,ENSG00000075188 ,NUP37,0.937693544
ENST00000339438,ENSG00000009307 ,CSDE1,0.936380611
ENST00000313368,ENSG00000178913 ,TAF7,0.93398857
ENST00000312431,ENSG00000151914 ,DST,0.933569706
ENST00000506733,ENSG00000151726 ,ACSL1,0.932958173
ENST00000399138,ENSG00000091542 ,ALKBH5,0.932604554
ENST00000348035,ENSG00000136238 ,RAC1,0.931861896
ENST00000491143,ENSG00000119547 ,ONECUT2,0.93057818
ENST00000393909,ENSG00000115364 ,MRPL19,0.930553932
ENST00000378076,ENSG00000077943 ,ITGA8,0.928400852
ENST00000290858,ENSG00000067955 ,CBFB,0.927607923
ENST00000397752,ENSG00000105976 ,MET,0.926898935
ENST00000309534,ENSG00000163320 ,CGGBP1,0.92689458
ENST00000379073,ENSG00000118557 ,PMFBP1,0.92671129
ENST00000395076,ENSG00000100614 ,PPM1A,0.926143213
ENST00000540528,ENSG00000072274 ,TFRC,0.925527871
ENST00000424034,ENSG00000093217 ,XYLB,0.924531885
ENST00000525842,ENSG00000196323 ,ZBTB44,0.923732403
ENST00000346618,ENSG00000112242 ,E2F3,0.923572814
