Transcript Id,Gene Id,name,miTG score
ENST00000343526,ENSG00000122779 ,TRIM24,0.985014233
ENST00000596831,ENSG00000268163 ,AC004076.9,0.982498604
ENST00000314499,ENSG00000178662 ,CSRNP3,0.979320568
ENST00000488674,ENSG00000106689 ,LHX2,0.970636084
ENST00000359388,ENSG00000158560 ,DYNC1I1,0.970086545
ENST00000238856,ENSG00000119844 ,AFTPH,0.967706865
ENST00000524823,ENSG00000183889 ,NPIPA7,0.966627896
ENST00000314393,ENSG00000178764 ,ZHX2,0.964102692
ENST00000373812,ENSG00000198492 ,YTHDF2,0.953273871
ENST00000588831,ENSG00000126243 ,LRFN3,0.952802156
ENST00000448120,ENSG00000078246 ,TULP3,0.951495669
ENST00000327300,ENSG00000121774 ,KHDRBS1,0.942142396
ENST00000567020,ENSG00000162065 ,TBC1D24,0.938992973
ENST00000437887,ENSG00000233863 ,AC012215.1,0.937794799
ENST00000486995,ENSG00000049883 ,PTCD2,0.933203017
ENST00000283916,ENSG00000153802 ,TMPRSS11D,0.931805882
ENST00000298943,ENSG00000165985 ,C1QL3,0.926312829
ENST00000471389,ENSG00000140718 ,FTO,0.925942661
ENST00000248980,ENSG00000128253 ,RFPL2,0.924305265
ENST00000283684,ENSG00000081923 ,ATP8B1,0.922786223
ENST00000371227,ENSG00000095637 ,SORBS1,0.917652656
ENST00000441402,ENSG00000121775 ,TMEM39B,0.91691793
ENST00000357552,ENSG00000196074 ,SYCP2,0.916392484
ENST00000341864,ENSG00000187325 ,TAF9B,0.915362164
ENST00000354373,ENSG00000128250 ,RFPL1,0.913235528
ENST00000523175,ENSG00000113249 ,HAVCR1,0.910520383
ENST00000517608,ENSG00000104343 ,UBE2W,0.909547233
ENST00000292599,ENSG00000161021 ,MAML1,0.905993748
ENST00000416695,ENSG00000188167 ,TMPPE,0.900692424
ENST00000370759,ENSG00000137960 ,GIPC2,0.899955424
ENST00000366595,ENSG00000116962 ,NID1,0.898630107
ENST00000345514,ENSG00000127152 ,BCL11B,0.897312644
ENST00000428210,ENSG00000082898 ,XPO1,0.894408869
ENST00000551354,ENSG00000011465 ,DCN,0.893687208
ENST00000539943,ENSG00000219435 ,TEX40,0.893417612
ENST00000238961,ENSG00000119906 ,FAM178A,0.89262307
ENST00000340553,ENSG00000170802 ,FOXN2,0.891104128
ENST00000451672,ENSG00000241043 ,GVQW1,0.888186239
ENST00000344636,ENSG00000187510 ,PLEKHG7,0.885090032
ENST00000376203,ENSG00000148459 ,PDSS1,0.883090763
