Transcript Id,Gene Id,name,miTG score
ENST00000307602,ENSG00000168172 ,HOOK3,0.999226178
ENST00000396583,ENSG00000144642 ,RBMS3,0.997640753
ENST00000371160,ENSG00000101972 ,STAG2,0.996203263
ENST00000453386,ENSG00000136527 ,TRA2B,0.996107148
ENST00000258704,ENSG00000136206 ,SPDYE1,0.994677869
ENST00000282391,ENSG00000152520 ,PAN3,0.994660062
ENST00000261491,ENSG00000102780 ,DGKH,0.993740691
ENST00000603053,ENSG00000242950 ,ERVW-1,0.992634478
ENST00000312655,ENSG00000175155 ,YPEL2,0.991853148
ENST00000380050,ENSG00000058091 ,CDK14,0.991774403
ENST00000311015,ENSG00000172687 ,ZNF738,0.990671905
ENST00000370471,ENSG00000102081 ,FMR1,0.988678388
ENST00000467087,ENSG00000109689 ,STIM2,0.987567182
ENST00000372413,ENSG00000142949 ,PTPRF,0.986267994
ENST00000361905,ENSG00000187079 ,TEAD1,0.984545365
ENST00000367225,ENSG00000091844 ,RGS17,0.984409009
ENST00000393655,ENSG00000008196 ,TFAP2B,0.983876248
ENST00000525842,ENSG00000196323 ,ZBTB44,0.980378331
ENST00000298047,ENSG00000165323 ,FAT3,0.979822586
ENST00000406900,ENSG00000096717 ,SIRT1,0.979506408
ENST00000358935,ENSG00000198060 ,44625,0.978868686
ENST00000303635,ENSG00000171735 ,CAMTA1,0.977811552
ENST00000271411,ENSG00000143190 ,POU2F1,0.977743948
ENST00000373344,ENSG00000085224 ,ATRX,0.977681911
ENST00000305425,ENSG00000165659 ,DACH1,0.976982205
ENST00000382968,ENSG00000178222 ,RNF212,0.976967538
ENST00000374720,ENSG00000070214 ,SLC44A1,0.975052801
ENST00000607628,ENSG00000162290 ,DCP1A,0.974951762
ENST00000439649,ENSG00000151892 ,GFRA1,0.974944844
ENST00000316170,ENSG00000111846 ,GCNT2,0.97485528
ENST00000422508,ENSG00000156535 ,CD109,0.974468301
ENST00000265866,ENSG00000096746 ,HNRNPH3,0.974435129
ENST00000298912,ENSG00000165959 ,CLMN,0.974079216
ENST00000406785,ENSG00000183023 ,SLC8A1,0.973652709
ENST00000261712,ENSG00000108671 ,PSMD11,0.972886929
ENST00000531821,ENSG00000213967 ,ZNF726,0.972697493
ENST00000370695,ENSG00000198689 ,SLC9A6,0.972633061
ENST00000552864,ENSG00000111052 ,LIN7A,0.972285541
ENST00000360388,ENSG00000196376 ,SLC35F1,0.972258293
ENST00000527044,ENSG00000137812 ,CASC5,0.97079646
ENST00000322773,ENSG00000082293 ,COL19A1,0.970283775
ENST00000380492,ENSG00000130150 ,MOSPD2,0.968744067
ENST00000481195,ENSG00000113575 ,PPP2CA,0.968592878
ENST00000432997,ENSG00000197584 ,KCNMB2,0.968010696
ENST00000440172,ENSG00000122778 ,KIAA1549,0.967990104
ENST00000512062,ENSG00000103018 ,CYB5B,0.967956175
ENST00000334121,ENSG00000153914 ,SREK1,0.966351764
ENST00000265073,ENSG00000113387 ,SUB1,0.965652442
ENST00000361686,ENSG00000144057 ,ST6GAL2,0.965325016
ENST00000370558,ENSG00000097033 ,SH3GLB1,0.964816126
ENST00000545170,ENSG00000066427 ,ATXN3,0.964497443
ENST00000432899,ENSG00000143933 ,CALM2,0.963524766
ENST00000338148,ENSG00000185414 ,MRPL30,0.962838176
ENST00000377275,ENSG00000165997 ,ARL5B,0.962770018
ENST00000546590,ENSG00000179104 ,TMTC2,0.962718136
ENST00000512183,ENSG00000241962 ,C2orf15,0.962698821
ENST00000310974,ENSG00000173852 ,DPY19L1,0.962039786
ENST00000371327,ENSG00000119969 ,HELLS,0.961368471
ENST00000397933,ENSG00000163714 ,U2SURP,0.960522886
ENST00000336278,ENSG00000168807 ,SNTB2,0.960107461
ENST00000225388,ENSG00000108256 ,NUFIP2,0.959887706
ENST00000303407,ENSG00000169925 ,BRD3,0.958919362
ENST00000360929,ENSG00000100095 ,SEZ6L,0.958804074
ENST00000375859,ENSG00000106723 ,SPIN1,0.958300993
ENST00000425217,ENSG00000171435 ,KSR2,0.957158834
ENST00000560371,ENSG00000131323 ,TRAF3,0.957006763
ENST00000335727,ENSG00000100354 ,TNRC6B,0.956512517
ENST00000280527,ENSG00000150938 ,CRIM1,0.956311698
ENST00000540651,ENSG00000143761 ,ARF1,0.954896655
ENST00000547095,ENSG00000061987 ,MON2,0.954748973
ENST00000366958,ENSG00000117707 ,PROX1,0.954080435
ENST00000452510,ENSG00000145833 ,DDX46,0.954029473
ENST00000392238,ENSG00000138439 ,FAM117B,0.953798277
ENST00000395965,ENSG00000113391 ,FAM172A,0.952308814
ENST00000295958,ENSG00000163683 ,SMIM14,0.952273363
ENST00000373191,ENSG00000126070 ,AGO3,0.951634942
ENST00000423270,ENSG00000181827 ,RFX7,0.951236702
ENST00000458537,ENSG00000136603 ,SKIL,0.95106215
ENST00000355125,ENSG00000011114 ,BTBD7,0.95097768
ENST00000309993,ENSG00000174579 ,MSL2,0.950715002
ENST00000370238,ENSG00000023909 ,GCLM,0.950557931
