Transcript Id,Gene Id,name,miTG score
ENST00000392869,ENSG00000121964 ,GTDC1,0.999074912
ENST00000483815,ENSG00000101084 ,C20orf24,0.997240383
ENST00000290585,ENSG00000159409 ,CELF3,0.996445627
ENST00000273980,ENSG00000145348 ,TBCK,0.994029311
ENST00000424141,ENSG00000135423 ,GLS2,0.986227661
ENST00000371374,ENSG00000172348 ,RCAN2,0.975351347
ENST00000532223,ENSG00000254709 ,IGLL5,0.97063072
ENST00000525058,ENSG00000134812 ,GIF,0.969139976
ENST00000322723,ENSG00000115053 ,NCL,0.968950452
ENST00000474086,ENSG00000188739 ,RBM34,0.966825969
ENST00000374045,ENSG00000181634 ,TNFSF15,0.959271621
ENST00000415178,ENSG00000158486 ,DNAH3,0.952540565
ENST00000518676,ENSG00000188039 ,NWD1,0.942704673
ENST00000219905,ENSG00000174197 ,MGA,0.925944184
ENST00000378551,ENSG00000138032 ,PPM1B,0.918160151
ENST00000452157,ENSG00000155545 ,MIER3,0.916887965
ENST00000276681,ENSG00000147676 ,MAL2,0.90817145
ENST00000546772,ENSG00000111077 ,TENC1,0.90770377
ENST00000549851,ENSG00000135407 ,AVIL,0.906633353
ENST00000280258,ENSG00000150687 ,PRSS23,0.899644294
ENST00000510678,ENSG00000169045 ,HNRNPH1,0.894325009
ENST00000368932,ENSG00000168438 ,CDC40,0.887469102
ENST00000254029,ENSG00000131725 ,WDR44,0.886568046
ENST00000455566,ENSG00000175470 ,PPP2R2D,0.874085916
ENST00000556422,ENSG00000070269 ,TMEM260,0.873660096
ENST00000458452,ENSG00000127054 ,CPSF3L,0.868349252
ENST00000309083,ENSG00000159335 ,PTMS,0.864780639
ENST00000527748,ENSG00000156097 ,GPR61,0.864095346
ENST00000264808,ENSG00000138738 ,PRDM5,0.857731244
ENST00000425217,ENSG00000171435 ,KSR2,0.855008049
ENST00000582913,ENSG00000154864 ,PIEZO2,0.852035691
ENST00000547347,ENSG00000179088 ,C12orf42,0.84977748
ENST00000257821,ENSG00000135365 ,PHF21A,0.848882086
ENST00000257189,ENSG00000134757 ,DSG3,0.84131075
ENST00000287169,ENSG00000156599 ,ZDHHC5,0.840074615
ENST00000536441,ENSG00000149212 ,SESN3,0.837841471
ENST00000161863,ENSG00000047188 ,YTHDC2,0.836728284
ENST00000345063,ENSG00000188001 ,TPRG1,0.835766921
ENST00000370732,ENSG00000154258 ,ABCA9,0.834614589
ENST00000405863,ENSG00000122584 ,NXPH1,0.827026524
ENST00000377309,ENSG00000089101 ,C20orf26,0.826321557
ENST00000554557,ENSG00000072121 ,ZFYVE26,0.820841756
ENST00000555547,ENSG00000100650 ,SRSF5,0.81642822
ENST00000332598,ENSG00000184840 ,TMED9,0.811733395
ENST00000360647,ENSG00000163848 ,ZNF148,0.808381541
